Alder;3801 Horten;3802 Holmestrand;3803 Tønsberg;3804 Sandefjord;3805 Larvik;3806 Porsgrunn;3807 Skien;3808 Notodden;3811 Færder;3812 Siljan;3813 Bamble;3814 Kragerø;3815 Drangedal;3816 Nome;3817 Midt-Telemark;3818 Tinn;3819 Hjartdal;3820 Seljord;3821 Kviteseid;3822 Nissedal;3823 Fyresdal;3824 Tokke;3825 Vinje
Utflytting;;;;;;;;;;;;;;;;;;;;;;;
1 år;120;121;264;293;195;156;246;41;142;14;60;31;8;38;52;18;8;8;8;6;2;2;22
2 år;103;101;245;258;193;159;193;33;124;15;51;29;9;31;52;17;7;4;10;7;9;4;9
3 år;86;94;199;240;164;124;180;32;132;8;42;27;9;35;38;22;3;11;12;3;3;5;15
4 år;98;91;209;205;126;132;135;34;91;10;49;27;13;39;42;19;2;12;2;5;6;4;8
5 år;68;77;179;202;122;99;138;30;103;12;39;18;6;27;29;15;6;8;5;4;6;1;9
6 år;62;87;167;173;105;101;146;22;85;5;32;28;7;32;33;19;3;10;5;4;2;4;12
7 år;43;57;124;168;82;75;94;26;51;6;27;22;8;23;39;14;4;5;7;4;4;7;4
8 år;55;58;103;152;56;92;91;28;65;7;31;20;10;27;26;10;2;10;5;1;7;4;9
9 år;48;60;132;135;96;68;104;24;58;10;29;19;9;21;20;18;3;3;4;6;2;3;6
10 år;57;40;112;137;84;56;104;26;53;8;33;13;5;11;31;9;3;7;7;2;3;4;11
11 år;38;48;107;145;72;52;91;28;40;9;31;19;11;9;15;11;2;8;4;3;1;3;2
12 år;60;49;109;131;70;69;74;15;59;1;20;14;9;13;11;17;3;3;3;6;1;6;7
13 år;42;54;122;105;77;52;91;20;63;1;30;15;8;17;26;7;1;2;5;5;;3;7
14 år;42;42;110;128;70;78;91;14;66;6;18;11;10;15;25;13;2;4;2;2;1;2;6
15 år;63;58;115;127;67;76;108;18;64;7;30;13;12;17;22;12;1;8;6;2;1;1;9
16 år;63;60;200;187;112;104;163;24;71;8;30;17;5;21;37;10;3;8;7;4;3;4;12
17 år;65;48;175;158;117;100;128;24;68;6;27;21;12;21;31;14;3;5;5;1;2;3;8
18 år;94;100;264;331;143;185;175;36;122;4;49;36;13;35;50;22;3;15;6;4;;5;6
19 år;214;118;408;492;207;293;275;82;156;11;66;52;14;39;118;27;3;13;10;9;1;5;9
20 år;266;162;520;585;251;377;386;113;188;11;88;49;13;58;224;30;6;21;12;9;5;10;24
21 år;304;184;646;616;328;399;449;118;213;16;102;71;18;54;254;36;11;25;8;8;3;7;29
22 år;318;210;633;586;387;450;467;134;250;17;123;63;28;64;242;30;7;14;14;12;3;11;29
23 år;339;201;700;649;387;431;439;117;253;32;89;65;21;43;231;38;12;21;18;8;4;9;30
24 år;316;242;720;591;374;425;481;102;282;23;121;60;22;53;196;42;15;22;15;8;12;15;41
25 år;330;267;679;577;376;423;483;105;280;28;117;74;25;55;187;32;8;24;9;3;9;12;28
26 år;292;253;770;637;379;394;452;111;266;26;110;63;21;54;186;51;7;23;17;10;9;15;23
27 år;286;254;662;545;364;376;460;94;271;28;114;58;31;59;166;46;6;19;18;15;10;13;26
28 år;264;226;655;575;339;366;448;104;251;23;112;40;20;43;116;35;19;21;18;7;11;18;36
29 år;201;215;547;469;315;332;386;81;277;22;92;61;20;51;100;33;4;13;21;6;8;15;25
30 år;199;201;502;470;292;298;400;74;250;18;82;50;14;45;84;39;4;13;16;7;11;7;31
31 år;179;193;463;415;295;257;334;66;210;22;82;43;11;39;79;28;5;19;9;9;2;10;20
32 år;164;171;458;357;283;211;293;64;188;15;69;53;9;45;68;28;2;14;15;11;8;13;11
33 år;150;158;413;388;228;173;274;49;165;13;58;39;10;30;68;29;6;17;11;5;6;9;24
34 år;111;149;311;323;226;191;233;43;180;8;51;36;14;28;65;17;4;11;6;6;3;4;16
35 år;114;126;311;290;192;154;225;37;137;11;44;30;8;23;46;26;6;11;9;4;6;5;9
36 år;126;107;306;331;149;160;198;37;136;15;61;32;6;33;43;26;3;9;7;4;8;10;12
37 år;123;111;278;264;163;164;151;36;109;9;50;26;13;30;35;24;5;8;8;6;3;5;12
38 år;91;115;284;236;149;158;178;33;108;6;47;34;8;36;35;12;4;7;5;6;2;5;8
39 år;98;97;225;200;129;130;149;38;96;7;41;19;8;23;33;19;7;10;15;6;3;2;10
40 år;81;89;198;216;136;112;154;27;93;6;38;19;12;17;29;17;2;13;8;3;2;3;13
41 år;66;93;228;181;115;119;143;33;107;3;30;17;11;24;34;18;4;6;10;2;3;2;11
42 år;74;106;191;203;108;111;148;28;90;13;38;28;12;16;26;8;6;8;4;3;3;7;12
43 år;78;83;189;154;118;115;140;32;80;5;33;21;12;27;33;18;1;3;6;3;2;5;14
44 år;63;87;164;167;106;94;110;21;90;5;29;22;13;22;35;14;2;4;8;;1;9;6
